Country,Country_Code,Year,FDI,GDP_Growth,Exports_pct_GDP,Imports_pct_GDP,Trade_Openness,FDI_log,Trade_Openness_log,FDI_log_scaled,GDP_Growth_scaled,Trade_Openness_log_scaled
Lao PDR,LAO,2005,27720000.0,7.10756836811267,28.9637357220067,42.8289105517785,71.7926462737852,22.244544503950994,4.287614937377781,-0.43084369644902937,0.7064198917042079,-0.8256642673413468
Lao PDR,LAO,2006,187310641.0,8.61926620832807,38.1550775230179,43.8062978932242,81.9613754162421,22.278810431332637,4.418375143053872,-0.41092086659570304,1.1654599278398092,-0.589405364256854
Lao PDR,LAO,2007,323520000.0,7.59682880054878,33.6143130828635,45.5983158206633,79.21262890352679,22.307155204624692,4.384680970100766,-0.3944407028097013,0.8549880252362306,-0.6502843472859814
Lao PDR,LAO,2008,227770000.0,7.82490276337012,33.1540804750868,48.695101619045,81.8491820941318,22.287314107356387,4.417021871695077,-0.4059766755728813,0.924244643424016,-0.591850469058819
Lao PDR,LAO,2009,318598209.1,7.50177491225853,30.0830696746432,46.8477565440088,76.930826218652,22.30614486329011,4.355821589860759,-0.3950281335328932,0.8261240954515798,-0.7024277764275058
Lao PDR,LAO,2010,278805903.1,8.52690551739717,35.384026037956,49.3363118537116,84.7203378916676,22.297938623090207,4.451090112404276,-0.3997993899888267,1.1374138105705087,-0.5302956165074858
Lao PDR,LAO,2011,300743507.1,8.03865268023725,40.3431560976816,51.35553977034,91.6986958680216,22.30247107192666,4.529354404166718,-0.3971641422693692,0.9891516420003245,-0.3888868780700213
Lao PDR,LAO,2012,617755394.5,8.02609843461283,37.8767283501759,60.3083980811903,98.1851264313662,22.365773020089787,4.596988067881747,-0.3603592448389945,0.9853394374632936,-0.26668566923680637
Lao PDR,LAO,2013,681397257.1,8.02630022699017,38.1731033983004,60.00604321766,98.1791466159604,22.378012153556956,4.596927776627523,-0.3532431913056181,0.9854007134522653,-0.2667946041036097
Lao PDR,LAO,2014,867646121.7,7.61196343979319,40.7545466511497,58.3051916421903,99.05973829334,22.412992840797543,4.605767390559337,-0.3329047871444048,0.8595837884640615,-0.2508230974787726
Lao PDR,LAO,2015,1077759915.0,7.27006584373785,33.9522573081909,51.8460643954901,85.79832170368101,22.45104044560526,4.463587286268329,-0.31078322164675526,0.7557636461890976,-0.5077155924587996
Lao PDR,LAO,2016,935296172.8,7.02283625501138,33.209427456122,41.8824634642904,75.0918909204124,22.425401694960865,4.331941700982452,-0.3256900549290133,0.680690257629769,-0.7455742086543249
Lao PDR,LAO,2017,1686287305.0,6.8925308726989,33.209427456122,41.8824634642904,75.0918909204124,22.553707828535472,4.331941700982452,-0.25109054854838375,0.6411219088406609,-0.7455742086543249
Lao PDR,LAO,2018,1358019506.0,6.24796000755872,33.209427456122,41.8824634642904,75.0918909204124,22.49963663799204,4.331941700982452,-0.2825285165673288,0.44539242815042995,-0.7455742086543249
Lao PDR,LAO,2019,755524124.2,5.4577350924848,33.209427456122,41.8824634642904,75.0918909204124,22.392081365716933,4.331941700982452,-0.3450630969246399,0.20543384388791777,-0.7455742086543249
Lao PDR,LAO,2020,967706086.2,0.503031829018681,33.209427456122,41.8824634642904,75.0918909204124,22.43129243522405,4.331941700982452,-0.3222650720103698,-1.2991043677818108,-0.7455742086543249
Lao PDR,LAO,2021,1071913716.0,2.52835100486102,33.209427456122,41.8824634642904,75.0918909204124,22.45000115673856,4.331941700982452,-0.31138748298861557,-0.6840988005764483,-0.7455742086543249
Lao PDR,LAO,2022,726273736.5,2.70742652643155,33.209427456122,41.8824634642904,75.0918909204124,22.386553288443945,4.331941700982452,-0.3482772210222933,-0.6297209800187206,-0.7455742086543249
Lao PDR,LAO,2023,1781176779.0,3.74568140158232,33.209427456122,41.8824634642904,75.0918909204124,22.568808076518728,4.331941700982452,-0.24231099129424094,-0.31444596756036863,-0.7455742086543249
Lao PDR,LAO,2024,988457806.8,4.25825724651581,33.209427456122,41.8824634642904,75.0918909204124,22.435046071936448,4.331941700982452,-0.3200826397440733,-0.15879790872145477,-0.7455742086543249
