Country,Country_Code,Year,FDI,GDP_Growth,Exports_pct_GDP,Imports_pct_GDP,Trade_Openness
Brunei Darussalam,BRN,2019,373256767.2,3.86884416432889,57.9460406090157,50.5636178817246,108.50965849074029
Brunei Darussalam,BRN,2020,565542275.4,1.13357340605403,57.3561113668496,52.9348921971137,110.2910035639633
Brunei Darussalam,BRN,2021,206462739.4,-1.59076248075436,80.1689108263479,66.9542015818087,147.1231124081566
Brunei Darussalam,BRN,2022,-290169984.9,-1.62833154022366,86.3893570088471,60.5846090836886,146.9739660925357
Brunei Darussalam,BRN,2023,-55927970.38,1.12764419161606,76.7032024347733,60.1602318660444,136.8634343008177
Brunei Darussalam,BRN,2024,29063018.65,4.20037273472056,74.2982844367187,58.924934101365,133.2232185380837
Cambodia,KHM,2000,118308566.3,9.99358032292079,49.3049002706901,61.0922250330406,110.39712530373069
Cambodia,KHM,2001,146481995.1,7.38971065070517,51.1797752012962,60.5919660427045,111.77174124400071
Cambodia,KHM,2002,130956363.9,6.26507280509637,54.188950476339,64.0806115959488,118.2695620722878
Cambodia,KHM,2003,81580650.56,10.2836813071691,54.2286240176407,65.846345075958,120.0749690935987
Cambodia,KHM,2004,131416229.3,9.45769481103929,60.8183573699975,70.5331236862783,131.35148105627582
Cambodia,KHM,2005,379180190.6,13.3033338358455,61.0399163553182,72.5120489103296,133.5519652656478
Cambodia,KHM,2006,483209382.7,10.9433600681694,64.672329331268,75.6764049872155,140.3487343184835
Cambodia,KHM,2007,867288538.6,10.398458101201,61.1365869942825,72.5634368325363,133.7000238268188
Cambodia,KHM,2008,815180218.0,7.47636606631011,61.7787856845594,68.614724994177,130.3935106787364
Cambodia,KHM,2009,928393617.3,4.07477850599065,46.2109950081593,56.0769540065406,102.2879490146999
Cambodia,KHM,2010,1404315449.0,5.07691843229247,50.2265428540514,59.7718577537062,109.9984006077576
Cambodia,KHM,2011,1538883425.0,7.28665813879552,49.9211772643531,59.8693279024614,109.7905051668145
Cambodia,KHM,2012,1988102945.0,7.65025657870362,53.285002586552,63.4552308316603,116.7402334182123
Cambodia,KHM,2013,2068470774.0,7.8574997554252,56.6205657745424,68.2669869941146,124.887552768657
Cambodia,KHM,2014,1853471158.0,8.00032074618566,56.629548029687,67.8253604970058,124.4549085266928
Cambodia,KHM,2015,1822804151.0,7.20703472529512,55.9812203124044,66.1283765029746,122.109596815379
Cambodia,KHM,2016,2475915854.0,7.90550116130704,56.4318377218234,66.2727178808437,122.7045556026671
Cambodia,KHM,2017,2788084322.0,8.07503915535979,56.3000536720904,64.8553976265984,121.1554512986888
Cambodia,KHM,2018,3212633447.0,8.77622376224463,55.4713973566208,62.9662580564288,118.4376554130496
Cambodia,KHM,2019,3663032999.0,7.93695013588524,55.4468679729119,60.289811099536,115.73667907244791
Cambodia,KHM,2020,3624644990.0,-3.55572193406549,59.9217979409609,62.1835984056075,122.1053963465684
Cambodia,KHM,2021,3483461606.0,3.08984284151994,72.3610346435508,73.8188118661646,146.1798465097154
Cambodia,KHM,2022,3578831296.0,5.12990110767267,72.2070606780988,73.6665720833071,145.8736327614059
Cambodia,KHM,2023,3958792379.0,5.00733043812642,66.8926660552171,67.3141763407136,134.20684239593072
Cambodia,KHM,2024,4394647334.0,6.01581457354608,71.3635841655888,72.0834255374222,143.44700970301102
Indonesia,IDN,2000,-4550355286.0,4.9200677470169,40.9773084738704,30.4595674435027,71.4368759173731
Indonesia,IDN,2001,-2977391857.0,3.64346644721492,39.0321390955111,30.7610684301127,69.7932075256238
