Country,Year,Cluster,FDI,GDP_Growth,Trade_Openness
Lao PDR,2009,0,318598209.1,7.50177491225853,76.930826218652
Lao PDR,2010,0,278805903.1,8.52690551739717,84.7203378916676
Lao PDR,2011,0,300743507.1,8.03865268023725,91.6986958680216
Lao PDR,2012,2,617755394.5,8.02609843461283,98.1851264313662
Lao PDR,2013,2,681397257.1,8.02630022699017,98.1791466159604
Lao PDR,2014,2,867646121.7,7.61196343979319,99.05973829334
Lao PDR,2015,0,1077759915.0,7.27006584373785,85.79832170368101
Lao PDR,2016,0,935296172.8,7.02283625501138,75.0918909204124
Lao PDR,2017,0,1686287305.0,6.8925308726989,75.0918909204124
Lao PDR,2018,0,1358019506.0,6.24796000755872,75.0918909204124
Lao PDR,2019,0,755524124.2,5.4577350924848,75.0918909204124
Lao PDR,2020,0,967706086.2,0.503031829018681,75.0918909204124
Lao PDR,2021,0,1071913716.0,2.52835100486102,75.0918909204124
Lao PDR,2022,0,726273736.5,2.70742652643155,75.0918909204124
Lao PDR,2023,0,1781176779.0,3.74568140158232,75.0918909204124
Lao PDR,2024,0,988457806.8,4.25825724651581,75.0918909204124
Malaysia,2000,2,3787631579.0,8.85886816969386,220.406788982074
Malaysia,2001,2,553947368.4,0.517675319192861,203.3646360106529
Malaysia,2002,2,3192894737.0,5.39098830692797,199.35623269565465
Malaysia,2003,2,3218947368.0,5.7884992858875,194.1951290568308
Malaysia,2004,2,4376052632.0,6.78343772370305,210.3742658971247
Malaysia,2005,2,3924786635.0,5.33213916141486,203.8546445956234
Malaysia,2006,2,7690731246.0,5.5848470671515,202.5771468403974
Malaysia,2007,2,9071369835.0,6.29878592740947,192.4655063576514
Malaysia,2008,2,7572512432.0,4.83176988913097,176.66832478514812
Malaysia,2009,0,114664434.6,-1.51352871598714,162.5589704526995
Malaysia,2010,2,10885801852.0,7.42484738326097,157.9447648867712
Malaysia,2011,2,15119439204.0,5.29391283414003,154.9376846072261
Malaysia,2012,2,8895774251.0,5.47345419253853,147.8417547660134
Malaysia,2013,2,11296279514.0,4.69372252557893,142.7209914648729
Malaysia,2014,2,10619431583.0,6.00672194558203,138.31223117684328
Malaysia,2015,2,9857162112.0,5.09153242155011,131.37007244525978
Malaysia,2016,2,13470089921.0,4.44978139761541,126.89901002569992
Malaysia,2017,2,9368469823.0,5.81272240983328,133.1551733719561
Malaysia,2018,2,8304480742.0,4.84308697634881,130.40262550212628
Malaysia,2019,2,9154921685.0,4.41318742129586,123.02856202794293
Malaysia,2020,0,4058769679.0,-5.45684658426701,116.7881824376384
Malaysia,2021,2,20245157327.0,3.31534954399166,134.0359946907266
Malaysia,2022,2,15027992711.0,8.86182187578046,146.505418280787
Malaysia,2023,2,7918601050.0,3.55548715410509,132.0643072786674
Malaysia,2024,2,15593246087.0,5.11415547829091,137.3663412058313
Philippines,2000,0,1487000000.0,4.38250500083399,85.15336846000389
Philippines,2001,0,760000000.0,3.04923134463486,84.9003886237531
Philippines,2002,0,1769000000.0,3.71625500158383,83.84480409377889
Philippines,2003,0,492000000.0,5.08691113513073,87.5746443636636
Philippines,2004,0,592000000.0,6.56922851180626,87.1252848232048
Philippines,2005,0,1664000000.0,4.94250511877678,83.8456745708051
Philippines,2006,0,2707414997.0,5.31641682136939,80.85053867287749
Philippines,2007,0,2918724841.0,6.51929155018938,73.6449799920629
Philippines,2008,0,1340027563.0,4.34448730509183,67.6810707730401
Philippines,2009,0,2064620678.0,1.44832306275669,60.8865907869759
Philippines,2010,0,1070386940.0,7.33449996034538,66.10427851377969
Philippines,2011,0,2007150725.0,3.85823282795663,60.7958366999075
Philippines,2012,0,3215415155.0,6.89695171050985,57.842005513308095
Philippines,2013,0,3737371740.0,6.75053130142255,55.8247812320298
Philippines,2014,0,5739574024.0,6.34798748260867,57.468172087594496
Philippines,2015,0,5639155962.0,6.34830971672761,59.1415921053094
Philippines,2016,0,8279548275.0,7.14945675000752,61.776065765387
Philippines,2017,0,10256442399.0,6.9309883258402,68.1683697426727
Philippines,2018,0,9948598824.0,6.34148557153473,72.1633982990273
Philippines,2019,0,8671365874.0,6.11852566221303,68.8418422595678
Philippines,2020,0,6822133291.0,-9.51829474045297,58.169560302228206
Philippines,2021,0,11983363327.0,5.71473313185116,63.4846098136712
Philippines,2022,0,9492234668.0,7.58098212785563,72.4296836107599
Philippines,2023,0,8925128472.0,5.51894967862863,67.41996931739669
Philippines,2024,0,8929837510.0,5.69201612823412,65.8854725286968
Singapore,2000,2,15515295182.0,9.03831632555163,364.364520468218
Singapore,2001,2,17006818857.0,-1.07086275100448,349.292105694978
Singapore,2002,2,6157194144.0,3.92336076702013,349.746013985677
Singapore,2003,2,17051420153.0,4.54825542643229,377.218564301582
Singapore,2004,2,24390254966.0,9.93998268434957,401.523712538509
Singapore,2005,2,19316058814.0,7.36632239250758,420.43051292055895
Singapore,2006,2,39129332047.0,9.00676607871758,425.363399543019
Singapore,2007,2,47337947783.0,9.02151951268893,394.288471919078
Singapore,2008,2,13598298537.0,1.86348345462035,437.326714891057
Singapore,2009,2,23436064060.0,0.127953382778088,358.192811828842
Singapore,2010,2,55322434162.0,14.5197497108994,369.685555787646
Singapore,2011,2,49155657316.0,6.21493416858989,379.0986313775391
Singapore,2012,2,55310807548.0,4.43549759378537,369.212965787665
Singapore,2013,2,64389514904.0,4.81763099120676,367.041780049019
Singapore,2014,2,68698472831.0,3.93554027709007,360.46731916623696
Singapore,2015,2,69774553125.0,2.97679931634806,329.471398940262
Singapore,2016,2,65133174223.0,3.74757848792792,302.839656046574
Singapore,2017,2,101970000000.0,4.47689915845876,316.794409287568
Singapore,2018,2,83413645041.0,3.4519759658687,326.59658728675004
Singapore,2019,2,106573000000.0,1.30804118153127,324.394985115301
Singapore,2020,2,79753262990.0,-3.81470885510713,332.040805481913
Singapore,2021,2,145405000000.0,9.7568044629903,329.161383683762
Singapore,2022,2,149724000000.0,4.10800021897151,332.34956775484
Singapore,2023,2,132496000000.0,1.82140694115385,325.69322405378
Singapore,2024,2,151941000000.0,4.38802362461865,322.37142793471696
Thailand,2000,0,3365987583.0,4.45524704335014,121.297955351472
