PC1,PC2,Country,Year
-1.0455182632637057,-1.0825699742819554,Lao PDR,2020
-0.8902497494748239,-0.48755282018182616,Lao PDR,2021
-0.9024707000850183,-0.4282332593061868,Lao PDR,2022
-0.7540507046070476,-0.1409989240898235,Lao PDR,2023
-0.7699592999031036,0.023863164662098903,Lao PDR,2024
1.0549868601100671,1.0238299498825367,Malaysia,2000
0.15117525248474253,-1.3605533560450715,Malaysia,2001
0.6483532904637198,0.03868755248599342,Malaysia,2002
0.6462999010912563,0.16317345697290228,Malaysia,2003
0.8731233166307427,0.4187144581972747,Malaysia,2004
0.7076270791137262,0.005509803848188474,Malaysia,2005
0.8648516641423271,0.043942378479908485,Malaysia,2006
0.8962972918175316,0.25832775753129844,Malaysia,2007
0.637002865250818,-0.13701711771351546,Malaysia,2008
